epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10466.7,1.26198,0.99529,0.00856,0.85444,0.81089,0.88066,0.56074,1.24422,0.63051,0.01096,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,10788.7,1.25624,0.98588,0.00854,0.85104,0.82247,0.88716,0.569,1.22683,0.60917,0.0108,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,11113.2,1.25454,0.98287,0.0085,0.84266,0.8325,0.88835,0.57027,1.23562,0.60061,0.01096,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,11437.2,1.25304,0.97716,0.00847,0.85468,0.83315,0.89033,0.57616,1.21839,0.604,0.01067,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,11762.8,1.24894,0.96378,0.00845,0.8624,0.83472,0.89834,0.58004,1.21086,0.5921,0.01069,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,12082.9,1.23786,0.9621,0.00839,0.86641,0.83272,0.89821,0.58414,1.20155,0.58919,0.0106,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,12409.8,1.23644,0.95233,0.00829,0.87564,0.83026,0.90188,0.58528,1.19995,0.57452,0.01056,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,12734.5,1.22911,0.93651,0.00822,0.86769,0.85027,0.90428,0.59136,1.19383,0.56455,0.01038,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,13054.9,1.223,0.93457,0.00827,0.87692,0.83887,0.90302,0.58939,1.18845,0.56276,0.0102,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,13376.4,1.22436,0.93271,0.00821,0.88903,0.84109,0.90685,0.59236,1.18596,0.55659,0.01027,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,13698.3,1.22364,0.9207,0.00818,0.88865,0.83567,0.90822,0.59902,1.17294,0.56036,0.01,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,14019.7,1.21234,0.90945,0.00803,0.86961,0.84359,0.90517,0.59793,1.17564,0.5585,0.01008,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,14344.2,1.20747,0.90761,0.00806,0.86547,0.85708,0.91223,0.60542,1.16348,0.54648,0.00994,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,14667.9,1.20549,0.89945,0.00807,0.87683,0.85995,0.91247,0.60471,1.16448,0.53566,0.01002,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,14988,1.19735,0.8867,0.00797,0.88406,0.85618,0.91613,0.60882,1.15312,0.53987,0.00978,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,15312.1,1.19498,0.88621,0.00798,0.88955,0.85286,0.91552,0.60766,1.15506,0.54024,0.00974,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,15637,1.19403,0.88269,0.00794,0.88374,0.86625,0.91806,0.61296,1.14911,0.53038,0.00971,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,15958.4,1.18773,0.87484,0.00792,0.89492,0.85309,0.91833,0.61418,1.14315,0.52416,0.00963,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,16282.5,1.18495,0.87618,0.00783,0.8833,0.85899,0.91818,0.61401,1.14165,0.53102,0.00965,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
